102,asambleista,curul,total no,voto
,MEDINA MERA VICTOR CLEMENTE,72,,NO
,REINOSO LESCANO MARIA ELIZABETH,73,,NO
,ARIAS FERNANDEZ VERONICA ELIZABETH,75,,NO
,RODRIGUEZ DELGADO MARIA VERONICA,76,,NO
,SAENZ DE VITERI LAUTARO ENRIQUE,77,,NO
,SUBIA BARREIRO BOLIVAR STALIN,78,,NO
,HURTADO BRAVO WASHINGTON OMAR,79,,NO
,VILLAO PANCHANA RAUL ELIAS,81,,NO
,SANCHEZ ORDOÑEZ MONTGOMERY LUIS,84,,NO
,MOYA DUQUE HERMAN ANIBAL,85,,NO
,SERRANO REYES NELSON ALCIDES,86,,NO
,SOLANO MORENO ALEX FABIAN,87,,NO
,UMAGINGA GUAMAN CESAR,92,,NO
,TERAN SARZOSA SEGUNDO FAUSTO,94,,NO
,VALAREZO ORDOÑEZ ROCIO DEL CARMEN,95,,NO
,VALLE PINARGOTE BAIRON LEONARDO,96,,NO
,VASCONEZ ARTEAGA ANNY MARLLELY,97,,NO
,VELA CAIZAPANTA ANGEL RAMIRO,98,,NO
,PACHECO ORDOÑEZ BAYRON EDUARDO,99,,NO
,VELA CHERONI MARIA SOLEDAD,106,,NO
,ARGUELLO TROYA BLANCA AZUCENA,107,,NO
,VELASCO ENRIQUEZ CARLOS ALBERTO,108,,NO
,VELIZ BRIONES JOSE FELIX,109,,NO
,VERDUGA CEDEÑO MARY,110,,NO
,VICUÑA MUÑOZ MARIA ALEJANDRA,111,,NO
,VILEMA FREIRE ANGEL RAMIRO,112,,NO
,VILLACRESES PEÑA OCTAVIO XAVIER ENRIQUE,121,,NO
,VINTIMILLA JARRIN DIEGO ARMANDO,122,,NO
,VITERI GUALINGA CARLOS ELOY,123,,NO
,ZAMBRANO ARTEAGA JOSE RICARDO,124,,NO
,ZAMBRANO CABANILLA EDUARDO ALFONSO,125,,NO
,ZAMBRANO CASTRO NORALMA ELIZABETH,126,,NO
,OBANDO MORALES SANTA FELICITA,127,,NO
,ZAPATA MANTILLA JOSE LEONIDAS,128,,NO
,URIBE LOPEZ FANNY ESTHER,129,,NO
,POSSO SALGADO LUIS ANTONIO,113,,ABSTENCION
