69,asambleista,curul,total no,voto
,VERA FLORES WENDY VANESSA,64,,NO
,VERA RODRÍGUEZ CARLOS ALFREDO,65,,NO
,VILLALVA MIRANDA LIRA DE LA PAZ,66,,NO
,CHACTONG VELASCO MARTHA XIMENA,67,,NO
,GUAMBA DÍAZ NANCY JEANNETH,69,,NO
,LOOR ALCÍVAR LEXI LIDUVINA,70,,NO
,ANDRADE MUÑOZ WILMA PIEDAD,71,,NO
,ZAMBRANO ALCÍVAR MAGDA XIOMARA,72,,NO
,ASTUDILLO LOOR LINA GLORIA,74,,NO
,BURBANO MONTENEGRO FÉLIX FERNANDO,75,,NO
,ZAMBRANO CASTRO NORALMA ELIZABETH,76,,NO
,GUEVARA LOZADA FLERIDA YOVANA,77,,NO
,CUCALÓN CAMACHO HENRY EDUARDO,78,,NO
,SERRANO VITERI MERCEDES MARITZA,79,,NO
,CAMPOVERDE ROBLES EMILIO ABSALÓN,82,,NO
,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,85,,NO
,LLANES SUAREZ HENRY MANUEL,88,,NO
,CASTANIER JARAMILLO XAVIER HOMERO,89,,NO
,ALAY SÁNCHEZ XIOMARA LUCÍA,94,,NO
,PEÑA ONTANEDA ELIO GERMÁN,96,,NO
,CURICHUMBI YUPANQUI PEDRO,100,,NO
,VERDEZOTO REINOSO ROSA ISABEL,103,,NO
,GENDE CALAZACÓN ANGEL MESÍAS,104,,NO
,OLIVO PALLO JAIME FERNANDO,109,,NO
,BONILLA LÓPEZ SEGUNDO FELIPE,113,,NO
,MORENO GUERRERO HENRY FREDY,118,,NO
,ALARCÓN GUILLÍN FREDY OSCAR,125,,NO
,SOLÓRZANO SARRIA CÉSAR FAUSTO,126,,NO
,PAREDES TORRES WASHINGTON ARTURO,131,,NO
,YÉPEZ MARTÍNEZ HÉCTOR JOSÉ,137,,NO
,CALLEJAS BARONA FERNANDO,80,,ABSTENCION
,CAMPAIN BRAMBILLA RINA ASUNCIÓN,81,,ABSTENCION
,HENRÍQUEZ JAIME PATRICIA IVONNE,87,,ABSTENCION
,CELI SANTOS GUILLERMO ALEJANDRO,90,,ABSTENCION
,CADENA HUERTAS FRANCISCO JAVIER,95,,ABSTENCION
,CAMPOVERDE GONZÁLEZ RAÚL FREDDY BOLÍVAR,97,,ABSTENCION
,CALDERÓN CHANCAY DORIS DAISY,98,,ABSTENCION
,REYES HIDALGO CRISTINA EUGENIA,99,,ABSTENCION
,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105,,ABSTENCION
,ZAMBRANO VERA MARIANO,106,,ABSTENCION
,LARREÁTEGUI FABARA MARÍA GABRIELA,114,,ABSTENCION
,MONTAÑO VALENCIA MAE,117,,ABSTENCION
,MUÑOZ ALARCÓN HÉCTOR PATRICIO,119,,ABSTENCION
,CUESTA CONCARI MARÍA MERCEDES,122,,ABSTENCION
,MARÍN LAVAYEN DENNIS GUSTAVO,128,,ABSTENCION
,PALACIOS MUÑOZ JUAN SEBASTIÁN,130,,ABSTENCION
