34,asambleista,curul,total abstencion,total ausente,voto
,CUESTA ORELLANA MARÍA DE LOURDES,93,,,AUSENTE
,ZAMBRANO VALLE EDUARDO MAURICIO,94,,,AUSENTE
,GALARZA AÑAZCO ANA MERCEDES,103,,,AUSENTE
,DUCHI GUAMÁN MARÍA ENCARNACIÓN,108,,,AUSENTE
,SIMBAÑA VILLARREAL ABDÓN MARCELO,133,,,AUSENTE
,VILLAMAR JÁCOME PEDRO FABRICIO,136,,,AUSENTE
,AGUIÑAGA VALLEJO PAOLA MARCELA,1,,,SI
,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4,,,SI
,BERGMANN REYNA CARLOS ALBERTO,9,,,SI
,BONILLA SALCEDO VIVIANA,10,,,SI
,BUENDÍA HERDOÍZA MARÍA SOLEDAD,11,,,SI
,CALLE VERZOZI HERMUY,15,,,SI
,CÁRDENAS ESPINOZA JUAN JORGE,17,,,SI
,CHALÁ CRUZ JOSÉ FRANKLIN,22,,,SI
,ALEAGA SANTOS RONNY XAVIER,29,,,SI
,ESPINOSA ANDRADE AUGUSTO XAVIER,30,,,SI
,GARCÍA GAIBOR CARMEN MERCEDES,32,,,SI
,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36,,,SI
,MUÑOZ LÓPEZ CHRISTIAN PABEL,43,,,SI
,NARANJO ALVARADO PRISCILA AMAPOLA,44,,,SI
,POMA HERRERA YOFRE MARTÍN,50,,,SI
,RIVADENEIRA BUSTOS CARMEN MERCEDES,55,,,SI
,SAMANIEGO MAIGUA FRANKLIN OMAR,58,,,SI
,VALLE PINARGOTE BAIRON LEONARDO,62,,,SI
,VELIN CORTÉS JUAN PABLO,63,,,SI
,VERA FLORES WENDY VANESSA,64,,,SI
,VILLALVA MIRANDA LIRA DE LA PAZ,66,,,SI
,ZAMBRANO ALCÍVAR MAGDA XIOMARA,72,,,SI
,AUQUILLA ORTEGA RAÚL VICENTE,73,,,SI
,ASTUDILLO LOOR LINA GLORIA,74,,,SI
,BURBANO MONTENEGRO FÉLIX FERNANDO,75,,,SI
,CUCALÓN CAMACHO HENRY EDUARDO,78,,,SI
,SERRANO VITERI MERCEDES MARITZA,79,,,SI
,CALLEJAS BARONA FERNANDO,80,,,SI
,CAMPAIN BRAMBILLA RINA ASUNCIÓN,81,,,SI
,CAMPOVERDE ROBLES EMILIO ABSALÓN,82,,,SI
,CARRIÓN MORENO CÉSAR ATAULFO,83,,,SI
,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,85,,,SI
,HENRÍQUEZ JAIME PATRICIA IVONNE,87,,,SI
,KRONFLE KOZHAYA HENRY FABIÁN,88,,,SI
,CASTANIER JARAMILLO XAVIER HOMERO,89,,,SI
,CELI SANTOS GUILLERMO ALEJANDRO,90,,,SI
,CRUZ VACA JEANNINE DEL CISNE,92,,,SI
,CADENA HUERTAS FRANCISCO JAVIER,95,,,SI
,CAMPOVERDE GONZÁLEZ RAÚL FREDDY BOLÍVAR,97,,,SI
,CALDERÓN CHANCAY DORIS DAISY,98,,,SI
,LLANES SUAREZ HENRY MANUEL,99,,,SI
,CURICHUMBI YUPANQUI PEDRO,100,,,SI
,DONOSO CHIRIBOGA PATRICIO,101,,,SI
,FLORES VÁSQUEZ FERNANDO PATRICIO,102,,,SI
,CEDEÑO ZAMBRANO FELISITA MONCERRATE,106,,,SI
,CANDELL SOTO JAIME ENRIQUE JIMMY,107,,,SI
,ROHON HERVAS CÉSAR EDUARDO,110,,,SI
,TAIANO BASANTE VICENTE GIOVANNY,111,,,SI
,MENDOZA MACÍAS MANUEL VIRGILIO,112,,,SI
,TORRES COBO LUIS ESTEBAN,113,,,SI
,LARREÁTEGUI FABARA MARÍA GABRIELA,114,,,SI
,CARBO AGUIRRE JONATHAN ALEXI,115,,,SI
,VERA CALDERÓN SILVIA LORENA,116,,,SI
,MONTAÑO VALENCIA MAE,117,,,SI
,MORENO GUERRERO HENRY FREDY,118,,,SI
,MUÑOZ ALARCÓN HÉCTOR PATRICIO,119,,,SI
,PACHALA POMA LUIS ALBERTO,120,,,SI
,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121,,,SI
,ALARCÓN GUILLÍN FREDY OSCAR,125,,,SI
,ALMEYDA JALIL VICENTE FERNANDO,127,,,SI
,MARÍN LAVAYEN DENNIS GUSTAVO,128,,,SI
,ESTUPIÑÁN ORTIZ BORIS EFRÉN,129,,,SI
,PALACIOS MUÑOZ JUAN SEBASTIÁN,130,,,SI
,PAREDES TORRES WASHINGTON ARTURO,131,,,SI
,ROMERO LOAYZA FRANCO SEGUNDO,132,,,SI
,SUQUILANDA VALDIVIESO BYRON VINICIO,134,,,SI
,CEDEÑO LOOR LENIN PAÚL,135,,,SI
,YÉPEZ MARTÍNEZ HÉCTOR JOSÉ,137,,,SI
,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105,,,BLANCO
,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2,,,ABSTENCION
,SERRANO SALGADO JOSÉ RICARDO,3,,,ABSTENCION
,ARIAS RAMÍREZ ALBERTO JESÚS,5,,,ABSTENCION
,ARREGUI RUEDA MARCIA CECILIA,6,,,ABSTENCION
,BENAVIDES ZAMBRANO ZOILA TERESA,8,,,ABSTENCION
,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12,,,ABSTENCION
,CAMBALA MONTECE CARLOS ALBERTO,16,,,ABSTENCION
,CARRIÓN CEVALLOS MARÍA JOSÉ,18,,,ABSTENCION
,TERAN SARZOSA SEGUNDO FAUSTO,19,,,ABSTENCION
,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23,,,ABSTENCION
,COROZO AYOVÍ JORGE WILBER,24,,,ABSTENCION
,DOUMET CHEDRAUI MICHEL ANDRÉS,27,,,ABSTENCION
,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35,,,ABSTENCION
,LITARDO CAICEDO CÉSAR ERNESTO,38,,,ABSTENCION
,MARÍN AGUIRRE ANA BELÉN,40,,,ABSTENCION
,ALONSO FERNÁNDEZ FÉLIX FREDY,46,,,ABSTENCION
,PEÑA PACHECO XIMENA DEL ROCÍO,48,,,ABSTENCION
,QUIÑONEZ OCAMPO JULIO CÉSAR,53,,,ABSTENCION
,SALAZAR CEDEÑO GUADALUPE DOLORES,56,,,ABSTENCION
,SALGADO ANDRADE SILVIA BETZABETH,57,,,ABSTENCION
,VITERI GUALINGA CARLOS ELOY,67,,,ABSTENCION
,YAR ARAUJO JUAN CARLOS,68,,,ABSTENCION
,GUAMBA DÍAZ NANCY JEANNETH,69,,,ABSTENCION
,ZAMBRANO CASTRO NORALMA ELIZABETH,76,,,ABSTENCION
,GUEVARA LOZADA FLERIDA YOVANA,77,,,ABSTENCION
,YANDÚN POZO CÁSTULO RENÉ,86,,,ABSTENCION
,CRUZ PROAÑO LUDOVICO ISRAEL,91,,,ABSTENCION
,SUQUILANDA LIMA CARMEN MARGARITA,96,,,ABSTENCION
,GENDE CALAZACÓN ANGEL MESÍAS,104,,,ABSTENCION
,OLIVO PALLO JAIME FERNANDO,109,,,ABSTENCION
,CUESTA CONCARI MARÍA MERCEDES,122,,,ABSTENCION
,PEÑAFIEL IZQUIERDO EDDY COLÓN,123,,,ABSTENCION
,PUANCHIR PAYASHÑA TITO PEDRO,124,,,ABSTENCION
,SOLORZANO SARRIA CESAR FAUSTO,126,,,ABSTENCION
