34,asambleista,curul,total no,voto
,MATIAS APOLINARIO RITA AZUCENA,81.0,,SI
,SERRANO REYES NELSON ALCIDES,86.0,,SI
,VALAREZO ORDOÑEZ ROCIO DEL CARMEN,95.0,,SI
,VALLE PINARGOTE BAIRON LEONARDO,96.0,,SI
,VASCONEZ ARTEAGA ANNY MARLLELY,97.0,,SI
,VELA CAIZAPANTA ANGEL RAMIRO,98.0,,SI
,VELA CHERONI MARIA SOLEDAD,106.0,,SI
,TUPIZA OBANDO CARLOS ROGELIO,107.0,,SI
,VELIZ BRIONES JOSE FELIX,109.0,,SI
,VERDUGA CEDEÑO MARY,110.0,,SI
,VILLACRESES PEÑA OCTAVIO XAVIER ENRIQUE,121.0,,SI
,VINTIMILLA JARRIN DIEGO ARMANDO,122.0,,SI
,VITERI GUALINGA CARLOS ELOY,123.0,,SI
,ZAMBRANO CABANILLA EDUARDO ALFONSO,125.0,,SI
,ZAMBRANO CASTRO NORALMA ELIZABETH,126.0,,SI
,SERRANO SEGURA GRACE MARISOL,128.0,,SI
,AGUILAR TORRES MANUEL RAMIRO,74.0,,NO
,ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,79.0,,NO
,BUSTOS CHILIQUINGA ARCADIO,80.0,,NO
,YANDUN POZO CASTULO RENE,82.0,,NO
,ACACHO GONZALEZ PEPE LUIS,83.0,,NO
,DIAZ COKA MARIA GABRIELA,88.0,,NO
,FIERRO OVIEDO PACO,89.0,,NO
,GUALAN JAPA MILTON RODRIGO,90.0,,NO
,ORELLANA MARQUINEZ MAGALI MARGOT,91.0,,NO
,UMAJINGA GUAMAN CESAR,92.0,,NO
,PACHECO ORDOÑEZ BAYRON EDUARDO,99.0,,NO
,ALBAN GALLO MARINA ELIZABETH,100.0,,NO
,AUQUILLA ORTEGA RAUL VICENTE,101.0,,NO
,CHICAIZA TOAPANTA WILSON ALFONSO,102.0,,NO
,DONOSO CHIRIBOGA PATRICIO,103.0,,NO
,MONCAYO CEVALLOS JOSE RICARDO,104.0,,NO
,MOREIRA MACIAS GRACE HOLANDA,105.0,,NO
,VILEMA FREIRE ANGEL RAMIRO,112.0,,NO
,POSSO SALGADO LUIS ANTONIO,113.0,,NO
,AGUINDA TAPUY DIANA YOLANDA,114.0,,NO
,MONTAÑO VALENCIA MAE,115.0,,NO
,MORETA PANCHEZ MIGUEL ANGEL,116.0,,NO
,PAEZ BENALCAZAR ANDRES TARQUINO,117.0,,NO
,SALGADO RIVADENEIRA DIEGO,118.0,,NO
,MEDINA TAMBACO EMILY JESUS,119.0,,NO
,TORRES TORRES LUIS FERNANDO,120.0,,NO
,URIBE LOPEZ FANNY ESTHER,129.0,,NO
,TAPIA LOMBEYDA LUIS FERNANDO,130.0,,NO
,CUCALON CAMACHO HENRY EDUARDO,131.0,,NO
,REYES HIDALGO CRISTINA EUGENIA,132.0,,NO
,TACLE GALARRAGA MOISES FERNANDO,133.0,,NO
,ROMERO LOAYZA FRANCO SEGUNDO,134.0,,NO
,TERAN SALCEDO RAMON FORTUNATO,135.0,,NO
,OÑATE LOMBEIBA WIMPER BOLIVAR,136.0,,NO
,BUSTAMANTE PONCE FERNANDO XAVIER,17.0,,ABSTENCION
,MUÑOZ AVENDAÑO ROSA ELVIRA,58.0,,ABSTENCION
,OCLES PADILLA ALEXANDRA,60.0,,ABSTENCION
,VELASCO ENRIQUEZ CARLOS ALBERTO,108.0,,ABSTENCION
