35,asambleista,curul,total no,voto
,MOYA DUQUE HERMAN ANIBAL,85,,SI
,SERRANO REYES NELSON ALCIDES,86,,SI
,SOLANO MORENO ALEX FABIAN,87,,SI
,TERAN SARZOSA SEGUNDO FAUSTO,94,,SI
,VALAREZO ORDOÑEZ ROCIO DEL CARMEN,95,,SI
,MEJIA PLUAS NILDA CECIBEL,96,,SI
,VASCONEZ ARTEAGA ANNY MARLLELY,97,,SI
,VELA CAIZAPANTA ANGEL RAMIRO,98,,SI
,VELA CHERONI MARIA SOLEDAD,106,,SI
,ARGUELLO TROYA BLANCA AZUCENA,107,,SI
,VELASCO ENRIQUEZ CARLOS ALBERTO,108,,SI
,VELIZ BRIONES JOSE FELIX,109,,SI
,OCHOA MORANTE MANUEL ALFREDO,110,,SI
,VICUÑA MUÑOZ MARIA ALEJANDRA,111,,SI
,ALEJANDRO MEDINA CRISTINA SORAYA,121,,SI
,VINTIMILLA JARRIN DIEGO ARMANDO,122,,SI
,ZAMBRANO ARTEAGA JOSE RICARDO,124,,SI
,ZAMBRANO CASTRO NORALMA ELIZABETH,126,,SI
,ZAMBRANO CHACHA ALBERTO ALEXANDER,127,,SI
,SERRANO SEGURA GRACE MARISOL,128,,SI
,AGUILAR TORRES MANUEL RAMIRO,74,,NO
,ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,79,,NO
,BUSTOS CHILIQUINGA ARCADIO,80,,NO
,MATIAS APOLINARIO RITA AZUCENA,81,,NO
,YANDUN POZO CASTULO RENE,82,,NO
,CARDENAS SAQUICELA ULBIO EFREN,83,,NO
,DIAZ COKA MARIA GABRIELA,88,,NO
,FIERRO OVIEDO PACO,89,,NO
,GUALAN JAPA MILTON RODRIGO,90,,NO
,ORELLANA MARQUINEZ MAGALI MARGOT,91,,NO
,UMAJINGA GUAMAN CESAR,92,,NO
,TIBAN GUALA LOURDES LICENIA,93,,NO
,PACHECO ORDOÑEZ BAYRON EDUARDO,99,,NO
,GUTIERREZ BORBUA FAUSTO GILMAR,100,,NO
,AUQUILLA ORTEGA RAUL VICENTE,101,,NO
,CHICAIZA TOAPANTA WILSON ALFONSO,102,,NO
,DONOSO CHIRIBOGA PATRICIO,103,,NO
,MONCAYO CEVALLOS JOSE RICARDO,104,,NO
,MOREIRA MACIAS GRACE HOLANDA,105,,NO
,VILEMA FREIRE ANGEL RAMIRO,112,,NO
,POSSO SALGADO LUIS ANTONIO,113,,NO
,SOLORZANO SARRIA CESAR FAUSTO,114,,NO
,MONTAÑO VALENCIA MAE,115,,NO
,MORETA PANCHEZ MIGUEL ANGEL,116,,NO
,PAEZ BENALCAZAR ANDRES TARQUINO,117,,NO
,SALGADO RIVADENEIRA DIEGO,118,,NO
,CHICA ARTEAGA GUNTARD PAVEL,119,,NO
,TORRES TORRES LUIS FERNANDO,120,,NO
,URIBE LOPEZ FANNY ESTHER,129,,NO
,TAPIA LOMBEYDA LUIS FERNANDO,130,,NO
,REYES HIDALGO CRISTINA EUGENIA,132,,NO
,TACLE GALARRAGA MOISES FERNANDO,133,,NO
,ROMERO LOAYZA FRANCO SEGUNDO,134,,NO
,TERAN SALCEDO RAMON FORTUNATO,135,,NO
,KRONFLE GOMEZ MARIA CRISTINA,137,,NO
