34,69,asambleista,curul,total abstencion,total si,voto
,,ORDOÑEZ QUEZADA ANDREINA SILVANA,82,,,ABSTENCION
,,CARRIÓN MORENO CÉSAR ATAULFO,83,,,ABSTENCION
,,ZAMBRANO CHACHA ALBERTO ALEXANDER,84,,,ABSTENCION
,,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,85,,,ABSTENCION
,,UGARTE HENRÍQUEZ JOSÉ FERNANDO,87,,,ABSTENCION
,,CASTANIER JARAMILLO XAVIER HOMERO,89,,,ABSTENCION
,,CRUZ PROAÑO LUDOVICO ISRAEL,91,,,ABSTENCION
,,CADENA HUERTAS FRANCISCO JAVIER,95,,,ABSTENCION
,,PEÑA ONTANEDA ELIO GERMÁN,96,,,ABSTENCION
,,MONTAÑO GUISAMANO MAYRA MIGDONIA,97,,,ABSTENCION
,,MUENTES ALVARADO PABLO ANDRES,98,,,ABSTENCION
,,REYES HIDALGO CRISTINA EUGENIA,99,,,ABSTENCION
,,CURICHUMBI YUPANQUI PEDRO,100,,,ABSTENCION
,,GALARZA AÑAZCO ANA MERCEDES,103,,,ABSTENCION
,,GENDE CALAZACÓN ANGEL MESÍAS,104,,,ABSTENCION
,,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105,,,ABSTENCION
,,DUCHI GUAMÁN MARÍA ENCARNACIÓN,108,,,ABSTENCION
,,ZAPATA GÓMEZ DALILA MONSERRATH,109,,,ABSTENCION
,,ROHON HERVAS CÉSAR EDUARDO,110,,,ABSTENCION
,,TACLE GARCÍA SAMIA,111,,,ABSTENCION
,,NUÑEZ MANSSUR LUIS ANTONIO,112,,,ABSTENCION
,,LARREÁTEGUI FABARA MARÍA GABRIELA,114,,,ABSTENCION
,,CARBO AGUIRRE JONATHAN ALEXI,115,,,ABSTENCION
,,MINCHALA MURILLO RÓMULO MARCELO,116,,,ABSTENCION
,,MONTAÑO VALENCIA MAE,117,,,ABSTENCION
,,VARGAS SÁNCHEZ GRETTY LEILA,118,,,ABSTENCION
,,HIDALGO ESPINEL SANDRA VICTORIA CARMEN,119,,,ABSTENCION
,,PACHALA POMA LUIS ALBERTO,120,,,ABSTENCION
,,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121,,,ABSTENCION
,,PEÑAFIEL IZQUIERDO EDDY COLÓN,123,,,ABSTENCION
,,ALARCÓN GUILLÍN FREDY OSCAR,125,,,ABSTENCION
,,SOLORZANO SARRIA CESAR FAUSTO,126,,,ABSTENCION
,,ESTUPIÑÁN ORTIZ BORIS EFRÉN,129,,,ABSTENCION
,,RODRÍGUEZ PÉREZ SORAYA MARIBEL,130,,,ABSTENCION
,,ROMERO LOAYZA FRANCO SEGUNDO,132,,,ABSTENCION
,,SIMBAÑA VILLARREAL ABDÓN MARCELO,133,,,ABSTENCION
,,VERA MENDOZA TANLLY JANELA,135,,,ABSTENCION
,,YÉPEZ MARTÍNEZ HÉCTOR JOSÉ,137,,,ABSTENCION
