35,asambleista,curul,total no,voto
,VALLE PINARGOTE BAIRON LEONARDO,62,,NO
,VILLALVA MIRANDA LIRA DE LA PAZ,66,,NO
,VITERI GUALINGA CARLOS ELOY,67,,NO
,GUAMBA DÍAZ NANCY JEANNETH,69,,NO
,LOOR ALCÍVAR LEXI LIDUVINA,70,,NO
,ZAMBRANO VALLE EDUARDO MAURICIO,94,,NO
,ARIAS RAMÍREZ ALBERTO JESÚS,5,,SI
,ARREGUI RUEDA MARCIA CECILIA,6,,SI
,ARTEAGA MUÑOZ KARINA CECILIA,7,,SI
,MARQUEZ LOPEZ JOSE LENIN,8,,SI
,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12,,SI
,CABEZAS GUERRERO ELIZABETH ENRIQUETA,13,,SI
,CAMBALA MONTECE CARLOS ALBERTO,16,,SI
,CARRIÓN CEVALLOS MARÍA JOSÉ,18,,SI
,TERÁN SARZOSA SEGUNDO FAUSTO,19,,SI
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,20,,SI
,CERDA MIRANDA GABRIELA PAMELA,21,,SI
,COROZO AYOVÍ JORGE WILBER,24,,SI
,CUESTA RÍOS LIUBA ELISA,25,,SI
,DOUMET CHEDRAUI MICHEL ANDRÉS,27,,SI
,FLOR GIL BRENDA AZUCENA,31,,SI
,GARZÓN RICAURTE WILLIAM ANTONIO,34,,SI
,FUENTES NARANJO PAULINA DEL CARMEN,35,,SI
,LITARDO CAICEDO CÉSAR ERNESTO,38,,SI
,MARÍN AGUIRRE ANA BELÉN,40,,SI
,MENDOZA ARÉVALO DANIEL ISAAC,42,,SI
,OCHOA MORANTE MANUEL ALFREDO,45,,SI
,ORELLANA ROMÁN ROSA GINA,46,,SI
,BUSTAMANTE GARCÍA JUAN FRANCISCO,47,,SI
,PEÑA PACHECO XIMENA DEL ROCÍO,48,,SI
,PLAZA CASTILLO LENIN,49,,SI
,QUIJIJE DELGADO LUIS RAFAEL,52,,SI
,RODRÍGUEZ CEDEÑO ROSA ELENA,53,,SI
,SALAZAR CEDEÑO GUADALUPE DOLORES,56,,SI
,VERA RODRÍGUEZ CARLOS ALFREDO,65,,SI
,YAR ARAUJO JUAN CARLOS,68,,SI
,ANDRADE MUÑOZ WILMA PIEDAD,71,,SI
,ASTUDILLO LOOR LINA GLORIA,74,,SI
,BURBANO MONTENEGRO FÉLIX FERNANDO,75,,SI
,ZAMBRANO CASTRO NORALMA ELIZABETH,76,,SI
,AZUERO RODAS ELISEO ALEXIS,77,,SI
,CALLEJAS BARONA FERNANDO,80,,SI
,CAMPAIN BRAMBILLA RINA ASUNCIÓN,81,,SI
,CAMPOVERDE ROBLES EMILIO ABSALÓN,82,,SI
,CARRIÓN MORENO CÉSAR ATAULFO,83,,SI
,ZAMBRANO CHACHA ALBERTO ALEXANDER,84,,SI
,YANDÚN POZO CÁSTULO RENÉ,86,,SI
,CASTANIER JARAMILLO XAVIER HOMERO,89,,SI
,CRUZ PROAÑO LUDOVICO ISRAEL,91,,SI
,CRUZ VACA JEANNINE DEL CISNE,92,,SI
,CUESTA ORELLANA MARÍA DE LOURDES,93,,SI
,PEÑA ONTANEDA ELIO GERMÁN,96,,SI
,CURICHUMBI YUPANQUI PEDRO,100,,SI
,DONOSO CHIRIBOGA PATRICIO,101,,SI
,FLORES VÁSQUEZ FERNANDO PATRICIO,102,,SI
,VERDEZOTO REINOSO ROSA ISABEL,103,,SI
,LÓPEZ LAPO CARLOS VÍCTOR,104,,SI
,CANDELL SOTO JAIME ENRIQUE JIMMY,107,,SI
,DUCHI GUAMÁN MARÍA ENCARNACIÓN,108,,SI
,OLIVO PALLO JAIME FERNANDO,109,,SI
,VERA CALDERÓN SILVIA LORENA,116,,SI
,PACHALA POMA LUIS ALBERTO,120,,SI
,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121,,SI
,CUESTA CONCARI MARÍA MERCEDES,122,,SI
,PEÑAFIEL IZQUIERDO EDDY COLÓN,123,,SI
,SOLORZANO SARRIA CESAR FAUSTO,126,,SI
,PAREDES TORRES WASHINGTON ARTURO,131,,SI
,SUQUILANDA VALDIVIESO BYRON VINICIO,134,,SI
