34,asambleista,curul,total abstencion,voto
,LEÓN ZAVALA MARCO ANTONIO,129.0,,SI
,PALACIOS MUÑOZ JUAN SEBASTIÁN,130.0,,SI
,SIMBAÑA VILLARREAL ABDÓN MARCELO,133.0,,SI
,SUQUILANDA VALDIVIESO BYRON VINICIO,134.0,,SI
,VERA MENDOZA TANLLY JANELA,135.0,,SI
,YÉPEZ MARTÍNEZ HÉCTOR JOSÉ,137.0,,SI
,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2.0,,ABSTENCION
,SERRANO SALGADO JOSÉ RICARDO,3.0,,ABSTENCION
,ARIAS RAMÍREZ ALBERTO JESÚS,5.0,,ABSTENCION
,ARREGUI RUEDA MARCIA CECILIA,6.0,,ABSTENCION
,ARTEAGA MUÑOZ KARINA CECILIA,7.0,,ABSTENCION
,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12.0,,ABSTENCION
,CABEZAS GUERRERO ELIZABETH ENRIQUETA,13.0,,ABSTENCION
,CAMBALA MONTECE CARLOS ALBERTO,16.0,,ABSTENCION
,CARRIÓN CEVALLOS MARÍA JOSÉ,18.0,,ABSTENCION
,TERÁN SARZOSA SEGUNDO FAUSTO,19.0,,ABSTENCION
,TENORIO VALENCIA CALLETANO,20.0,,ABSTENCION
,CERDA MIRANDA GABRIELA PAMELA,21.0,,ABSTENCION
,COROZO AYOVÍ JORGE WILBER,24.0,,ABSTENCION
,CUESTA RÍOS LIUBA ELISA,25.0,,ABSTENCION
,DOUMET CHEDRAUI MICHEL ANDRÉS,27.0,,ABSTENCION
,GARZÓN RICAURTE WILLIAM ANTONIO,34.0,,ABSTENCION
,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35.0,,ABSTENCION
,MARÍN AGUIRRE ANA BELÉN,40.0,,ABSTENCION
,OCHOA MORANTE MANUEL ALFREDO,45.0,,ABSTENCION
,ORELLANA ROMÁN ROSA GINA,46.0,,ABSTENCION
,PEÑA PACHECO XIMENA DEL ROCÍO,48.0,,ABSTENCION
,QUIJIJE DELGADO LUIS RAFAEL,52.0,,ABSTENCION
,RODRÍGUEZ CEDEÑO ROSA ELENA,53.0,,ABSTENCION
,SALAZAR CEDEÑO GUADALUPE DOLORES,56.0,,ABSTENCION
,VERA RODRÍGUEZ CARLOS ALFREDO,65.0,,ABSTENCION
,BURBANO MONTENEGRO FÉLIX FERNANDO,75.0,,ABSTENCION
,ZAMBRANO CASTRO NORALMA ELIZABETH,76.0,,ABSTENCION
,ZAMBRANO CHACHA ALBERTO ALEXANDER,84.0,,ABSTENCION
,YANDÚN POZO CÁSTULO RENÉ,86.0,,ABSTENCION
,VERDEZOTO REINOSO ROSA ISABEL,103.0,,ABSTENCION
,MONTAÑO VALENCIA MAE,117.0,,ABSTENCION
,CUESTA CONCARI MARÍA MERCEDES,122.0,,ABSTENCION
,PAREDES TORRES WASHINGTON ARTURO,131.0,,ABSTENCION
,ROMERO LOAYZA FRANCO SEGUNDO,132.0,,ABSTENCION
