35,asambleista,curul,total no,voto
,CUESTA ORELLANA MARÍA DE LOURDES,93.0,,ABSTENCION
,CADENA HUERTAS FRANCISCO JAVIER,95.0,,ABSTENCION
,PEÑA ONTANEDA ELIO GERMÁN,96.0,,ABSTENCION
,MONTAÑO GUISAMANO MAYRA MIGDONIA,97.0,,ABSTENCION
,MUENTES ALVARADO PABLO ANDRES,98.0,,ABSTENCION
,REYES HIDALGO CRISTINA EUGENIA,99.0,,ABSTENCION
,GALARZA AÑAZCO ANA MERCEDES,103.0,,ABSTENCION
,MACÍAS ORTEGA WENDY ELENA MARISOL,106.0,,ABSTENCION
,CAMPOS QUIÑONEZ LIDDA MERARI,107.0,,ABSTENCION
,DUCHI GUAMÁN MARÍA ENCARNACIÓN,108.0,,ABSTENCION
,OLIVO PALLO JAIME FERNANDO,109.0,,ABSTENCION
,ROHON HERVAS CÉSAR EDUARDO,110.0,,ABSTENCION
,TERÁN SALCEDO RAMÓN FORTUNATO,112.0,,ABSTENCION
,TORRES TORRES LUIS FERNANDO,113.0,,ABSTENCION
,MINCHALA MURILLO RÓMULO MARCELO,116.0,,ABSTENCION
,MONTAÑO VALENCIA MAE,117.0,,ABSTENCION
,MORENO GUERRERO HENRY FREDY,118.0,,ABSTENCION
,MUÑOZ ALARCÓN HÉCTOR PATRICIO,119.0,,ABSTENCION
,ARREGUI SÁNCHEZ NORMA OFELIA,120.0,,ABSTENCION
,POVEDA ALVARADO ERIKA SOPHIA,127.0,,ABSTENCION
,VINTIMILLA MOSCOSO PAOLA,128.0,,ABSTENCION
,ZAMBRANO ORTIZ MARÍA ROBERTA,129.0,,ABSTENCION
,PALACIOS MUÑOZ JUAN SEBASTIÁN,130.0,,ABSTENCION
,PAREDES TORRES WASHINGTON ARTURO,131.0,,ABSTENCION
,ROMERO LOAYZA FRANCO SEGUNDO,132.0,,ABSTENCION
,SIMBAÑA VILLARREAL ABDÓN MARCELO,133.0,,ABSTENCION
,SUQUILANDA VALDIVIESO BYRON VINICIO,134.0,,ABSTENCION
,VERA MENDOZA TANLLY JANELA,135.0,,ABSTENCION
