34,asambleista,curul,total no,voto
,QUISHPI VÉLEZ LUIS MANUEL,10.0,,ABSTENCION
,BUENDÍA HERDOÍZA MARÍA SOLEDAD,11.0,,ABSTENCION
,CADENA VÉLEZ KARLA GABRIELA,14.0,,ABSTENCION
,TERAN SARZOSA SEGUNDO FAUSTO,19.0,,ABSTENCION
,TENORIO VALENCIA CALLETANO,20.0,,ABSTENCION
,CERDA MIRANDA GABRIELA PAMELA,21.0,,ABSTENCION
,COROZO AYOVÍ JORGE WILBER,24.0,,ABSTENCION
,CUESTA SANTANA ESTHER ADELINA,26.0,,ABSTENCION
,DURÁN AGUILAR LILIANA ELIZABETH,28.0,,ABSTENCION
,ESPINOSA ANDRADE AUGUSTO XAVIER,30.0,,ABSTENCION
,GARCÍA GAIBOR CARMEN MERCEDES,32.0,,ABSTENCION
,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35.0,,ABSTENCION
,HOLGUÍN NARANJO MARCELA PRISCILA,37.0,,ABSTENCION
,LLORET VALDIVIESO JUAN CRISTÓBAL,39.0,,ABSTENCION
,MELO GARZÓN ESTEBAN ANDRÉS,41.0,,ABSTENCION
,NARANJO ALVARADO PRISCILA AMAPOLA,44.0,,ABSTENCION
,OCHOA MORANTE MANUEL ALFREDO,45.0,,ABSTENCION
,PROAÑO CIFUENTES ROBERTH MAURICIO,51.0,,ABSTENCION
,SAMANIEGO MAIGUA FRANKLIN OMAR,58.0,,ABSTENCION
,MOLINA ONOFA LUIS FERNANDO,60.0,,ABSTENCION
,TENEZACA LOPEZ MABEL MICHELL,62.0,,ABSTENCION
,VILLALVA MIRANDA LIRA DE LA PAZ,66.0,,ABSTENCION
,YAR ARAUJO JUAN CARLOS,68.0,,ABSTENCION
,YUNDA MACHADO JORGE HOMERO,69.0,,ABSTENCION
,CUESTA CONCARI MARÍA MERCEDES,122.0,,ABSTENCION
