34,35,asambleista,curul,total abstencion,total no,voto
,,BERGMANN REYNA CARLOS ALBERTO,9,,,ABSTENCION
,,BONILLA SALCEDO VIVIANA,10,,,ABSTENCION
,,CADENA VÉLEZ KARLA GABRIELA,14,,,ABSTENCION
,,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23,,,ABSTENCION
,,COROZO AYOVÍ JORGE WILBER,24,,,ABSTENCION
,,SALGADO ANDRADE SILVIA BETZABETH,57,,,ABSTENCION
,,VELIN CORTÉS JUAN PABLO,63,,,ABSTENCION
,,ANDRADE MUÑOZ WILMA PIEDAD,71,,,ABSTENCION
,,CAMPAIN BRAMBILLA RINA ASUNCIÓN,81,,,ABSTENCION
,,CAMPOVERDE ROBLES EMILIO ABSALÓN,82,,,ABSTENCION
,,CARRIÓN MORENO CÉSAR ATAULFO,83,,,ABSTENCION
,,ZAMBRANO CHACHA ALBERTO ALEXANDER,84,,,ABSTENCION
,,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,85,,,ABSTENCION
,,CASTANIER JARAMILLO XAVIER HOMERO,89,,,ABSTENCION
,,CELI SANTOS GUILLERMO ALEJANDRO,90,,,ABSTENCION
,,CRUZ VACA JEANNINE DEL CISNE,92,,,ABSTENCION
,,CUESTA ORELLANA MARÍA DE LOURDES,93,,,ABSTENCION
,,CURICHUMBI YUPANQUI PEDRO,100,,,ABSTENCION
,,FLORES VÁSQUEZ FERNANDO PATRICIO,102,,,ABSTENCION
,,GALARZA AÑAZCO ANA MERCEDES,103,,,ABSTENCION
,,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105,,,ABSTENCION
,,ZAMBRANO VERA MARIANO,106,,,ABSTENCION
,,LARREÁTEGUI FABARA MARÍA GABRIELA,114,,,ABSTENCION
,,MINCHALA MURILLO RÓMULO MARCELO,116,,,ABSTENCION
,,MUÑOZ ALARCÓN HÉCTOR PATRICIO,119,,,ABSTENCION
,,PACHALA POMA LUIS ALBERTO,120,,,ABSTENCION
,,GARCIA CANO LUIGI FRANCISCO,122,,,ABSTENCION
,,UGARTE GUZMÁN BLANCA ROSANA,127,,,ABSTENCION
,,PALACIOS MUÑOZ JUAN SEBASTIÁN,130,,,ABSTENCION
,,PAREDES TORRES WASHINGTON ARTURO,131,,,ABSTENCION
,,SIMBAÑA VILLARREAL ABDÓN MARCELO,133,,,ABSTENCION
,,SUQUILANDA VALDIVIESO BYRON VINICIO,134,,,ABSTENCION
